Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
6/16/2014,9,36,44,53,59,3
6/19/2014,8,13,43,56,60,2
6/23/2014,5,16,21,33,47,4
6/26/2014,15,22,51,52,58,3
6/30/2014,1,4,10,28,33,2
7/3/2014,8,10,25,28,31,2
7/7/2014,11,13,23,54,55,2
7/10/2014,11,12,31,54,59,3
7/14/2014,9,19,34,37,49,2
7/17/2014,8,9,22,46,51,1
7/21/2014,4,6,11,24,31,3
7/24/2014,5,20,35,43,48,3
7/28/2014,6,15,31,51,53,2
7/31/2014,13,25,26,32,58,1
8/4/2014,17,21,36,48,60,3
8/7/2014,3,18,38,40,49,2
8/11/2014,5,10,33,48,57,3
8/14/2014,3,11,34,46,60,2
8/18/2014,6,10,29,44,57,2
8/21/2014,11,24,40,43,47,2
8/25/2014,6,8,34,40,59,4
8/28/2014,12,24,27,38,49,2
9/1/2014,9,21,27,45,53,2
9/4/2014,3,21,28,32,56,3
9/8/2014,1,17,23,44,45,2
9/11/2014,12,44,56,58,59,2
9/15/2014,3,5,9,32,56,1
9/18/2014,5,10,11,24,28,3
9/22/2014,28,39,40,53,54,1
9/25/2014,9,11,28,30,41,4
9/29/2014,19,36,37,43,50,1
10/2/2014,23,34,35,44,52,1
10/6/2014,16,30,37,52,55,3
10/9/2014,23,26,32,50,57,4
10/13/2014,10,13,49,54,57,4
10/16/2014,12,13,20,28,45,4
10/20/2014,8,16,43,52,59,3
10/23/2014,9,22,24,36,54,1
10/27/2014,6,9,28,40,41,1
10/30/2014,19,22,29,38,53,1
11/3/2014,3,27,28,49,52,4
11/6/2014,3,7,14,20,32,3
11/10/2014,7,21,30,53,55,2
11/13/2014,7,8,16,49,56,4
11/17/2014,8,23,37,38,58,1
11/20/2014,2,40,46,59,60,2
11/24/2014,8,25,26,33,56,1
11/27/2014,9,30,43,51,55,3
12/1/2014,4,7,33,50,55,1
12/4/2014,1,15,21,41,60,4
12/8/2014,4,11,14,46,59,4
12/11/2014,12,22,27,35,49,4
12/15/2014,8,22,31,38,40,3
12/18/2014,20,22,26,27,43,2
12/22/2014,3,17,30,50,55,3
12/25/2014,5,14,22,37,60,2
12/29/2014,8,9,35,37,41,4
1/1/2015,13,19,20,21,35,2
1/5/2015,12,23,29,38,43,3
1/8/2015,16,28,38,43,45,3
1/12/2015,1,5,11,39,47,1
1/15/2015,12,15,22,25,27,3
1/19/2015,18,29,47,52,53,3
1/22/2015,8,11,35,47,60,2
1/26/2015,1,20,24,46,57,1
1/29/2015,8,24,28,57,60,2
2/2/2015,4,8,17,20,21,4
2/5/2015,14,17,38,40,45,2
2/9/2015,9,17,36,38,53,4
2/12/2015,6,11,32,56,60,2
2/16/2015,6,26,35,40,43,2
2/19/2015,18,43,51,52,60,4
2/23/2015,1,14,20,21,43,4
2/26/2015,3,16,20,38,49,3
3/2/2015,8,23,27,38,47,4
3/5/2015,10,22,46,47,48,4
3/9/2015,19,34,35,54,57,3
3/12/2015,3,6,17,47,48,1
3/16/2015,12,18,33,44,46,1
3/19/2015,2,12,28,51,54,1
3/23/2015,18,26,28,35,36,4
3/26/2015,6,35,36,47,53,2
3/30/2015,9,23,43,45,52,2
4/2/2015,15,22,29,34,37,3
4/6/2015,2,16,20,25,50,3
4/9/2015,5,7,27,43,50,3
4/13/2015,7,17,26,34,60,4
4/16/2015,1,6,11,13,23,1
4/20/2015,35,36,37,53,56,4
4/23/2015,3,12,30,40,56,2
4/27/2015,13,14,29,46,47,1
4/30/2015,9,26,29,46,58,2
5/4/2015,3,5,21,30,60,4
5/7/2015,4,11,44,47,53,2
5/11/2015,7,8,14,18,52,1
5/14/2015,6,28,34,39,43,2
5/18/2015,16,30,35,38,51,1
5/21/2015,18,22,24,29,56,4
5/25/2015,15,40,48,59,60,1
5/28/2015,8,25,28,33,47,1
6/1/2015,7,10,23,37,56,3
6/4/2015,4,9,32,41,43,2
6/8/2015,33,39,43,49,52,3
6/11/2015,17,24,43,49,57,2
6/15/2015,10,14,16,32,34,3
6/18/2015,1,2,14,29,59,3
6/22/2015,5,26,27,51,59,2
6/25/2015,3,26,27,29,58,1
6/29/2015,1,19,37,49,56,3
7/2/2015,18,19,31,43,54,3
7/6/2015,3,10,30,33,40,1
7/9/2015,19,34,36,54,55,1
7/13/2015,5,23,27,55,57,1
7/16/2015,22,29,47,53,54,3
7/20/2015,10,29,47,48,55,4
7/23/2015,8,26,28,41,52,4
7/27/2015,3,5,36,43,53,3
7/30/2015,15,16,26,27,51,2
8/3/2015,25,29,30,38,39,3
8/6/2015,4,5,24,31,42,2
8/10/2015,2,7,11,33,47,2
8/13/2015,8,12,50,51,56,4
8/17/2015,5,19,21,24,27,3
8/20/2015,6,14,25,39,56,4
8/24/2015,2,19,35,37,44,3
8/27/2015,5,29,37,55,58,2
8/31/2015,12,15,44,45,47,1
9/3/2015,20,33,46,49,51,4
9/7/2015,4,21,26,45,46,4
9/10/2015,11,16,50,55,56,4
9/14/2015,3,7,14,19,25,2
9/17/2015,14,15,17,35,56,2
9/21/2015,17,27,39,44,49,1
9/24/2015,14,17,29,39,50,3
9/28/2015,1,25,29,43,54,2
10/1/2015,25,37,39,47,55,3
10/5/2015,8,20,34,41,43,3
10/8/2015,25,27,28,42,53,2
10/12/2015,28,30,36,38,39,4
10/15/2015,7,11,39,40,45,2
10/19/2015,4,8,31,46,54,3
10/22/2015,5,18,45,52,57,2
10/26/2015,17,20,45,49,58,2
10/29/2015,10,31,32,34,51,4
11/2/2015,1,7,12,34,44,1
11/5/2015,13,20,25,31,51,3
11/9/2015,6,9,11,27,37,3
11/12/2015,6,41,44,49,56,4
11/16/2015,6,20,28,34,40,3
11/19/2015,2,7,21,38,48,4
11/23/2015,4,21,42,43,59,4
11/26/2015,13,23,43,47,59,3
11/30/2015,4,7,8,19,53,4
12/3/2015,8,10,27,37,39,1
12/7/2015,3,5,36,40,44,2
12/10/2015,10,47,48,53,58,2
12/14/2015,46,50,56,57,58,1
12/17/2015,26,49,52,54,56,1
12/21/2015,9,27,33,40,49,3
12/24/2015,5,19,36,41,55,2
12/28/2015,7,11,16,23,24,2
12/31/2015,1,5,24,47,55,1
1/4/2016,8,19,25,51,52,3
1/7/2016,14,31,37,54,56,1
1/11/2016,4,20,30,34,36,2
1/14/2016,23,27,29,36,60,4
1/18/2016,14,17,39,43,51,3
1/21/2016,11,13,36,46,48,4
1/25/2016,19,24,38,55,56,4
1/28/2016,4,5,15,25,59,2
2/1/2016,2,9,22,43,44,1
2/4/2016,8,12,23,40,54,1
2/8/2016,13,23,48,57,59,2
2/11/2016,6,31,35,40,55,2
2/15/2016,2,9,30,37,42,2
2/18/2016,21,24,37,38,49,4
2/22/2016,8,9,10,11,27,4
2/25/2016,2,16,19,33,39,3
2/29/2016,3,17,26,47,58,1
3/3/2016,7,13,35,40,45,4
3/7/2016,9,21,24,37,38,2
3/10/2016,6,12,21,40,57,1
3/14/2016,17,28,37,38,41,1
3/17/2016,11,16,34,44,56,1
3/21/2016,13,30,41,50,55,1
3/24/2016,17,24,30,45,48,3
3/28/2016,20,33,49,53,56,4
3/31/2016,9,17,28,38,45,1
4/4/2016,5,26,32,36,58,4
4/7/2016,2,11,32,50,54,2
4/11/2016,15,30,34,38,55,2
4/14/2016,24,25,48,55,56,2
4/18/2016,6,25,29,33,44,2
4/21/2016,6,12,20,40,53,4
4/25/2016,2,18,27,52,57,4
4/28/2016,4,14,22,47,58,3
5/2/2016,10,14,30,55,56,1
5/5/2016,17,18,30,43,49,4
5/9/2016,20,23,38,48,56,3
5/12/2016,4,13,15,16,32,4
5/16/2016,4,20,25,32,45,3
5/19/2016,10,18,37,40,57,4
5/23/2016,4,19,26,33,58,2
5/26/2016,4,13,26,34,43,3
5/30/2016,5,7,27,28,36,4
6/2/2016,18,28,30,31,37,2
6/6/2016,18,25,35,41,57,2
6/9/2016,1,4,12,33,41,2
6/13/2016,35,40,51,55,60,1
6/16/2016,3,17,22,57,59,2
6/20/2016,1,12,14,32,60,3
6/23/2016,1,9,36,38,46,1
6/27/2016,2,3,9,27,37,1
6/30/2016,4,9,10,31,34,3
7/4/2016,2,15,17,18,52,1
7/7/2016,4,8,26,41,55,3
7/11/2016,16,20,25,27,43,3
7/14/2016,3,8,11,24,25,2
7/18/2016,13,45,51,58,60,1
7/21/2016,1,4,18,29,32,1
7/25/2016,11,12,23,26,43,2
7/28/2016,13,19,32,36,41,2
8/1/2016,32,34,36,39,46,1
8/4/2016,8,22,41,54,56,1
8/8/2016,4,7,8,12,23,1
8/11/2016,3,34,44,53,55,4
8/15/2016,13,40,48,50,57,4
8/18/2016,7,24,25,56,58,3
8/22/2016,8,12,22,56,58,1
8/25/2016,10,17,24,47,59,2
8/29/2016,5,21,25,31,55,4
9/1/2016,17,45,46,51,53,2
9/5/2016,16,19,40,41,43,3
9/8/2016,3,7,22,37,60,2
9/12/2016,1,32,39,55,58,2
9/15/2016,11,20,54,59,60,2
9/19/2016,19,40,49,54,56,4
9/22/2016,1,3,24,42,59,1
9/26/2016,36,44,50,54,60,4
9/29/2016,13,25,39,51,55,3
10/3/2016,5,48,49,52,58,2
10/6/2016,5,7,9,12,43,2
10/10/2016,11,35,38,45,58,1
10/13/2016,3,19,21,26,43,3
10/17/2016,4,16,35,37,55,4
10/20/2016,6,38,40,48,57,2
10/24/2016,1,2,20,40,55,4
10/27/2016,15,16,19,37,40,4
10/31/2016,17,25,38,41,58,3
11/3/2016,5,10,29,37,59,4
11/7/2016,9,11,20,37,60,2
11/10/2016,6,7,17,20,44,2
11/14/2016,3,10,20,30,43,1
11/17/2016,6,30,32,35,48,1
11/21/2016,8,11,37,41,54,4
11/24/2016,4,24,25,32,46,1
11/28/2016,22,32,42,45,49,4
12/1/2016,17,23,30,49,55,1
12/5/2016,5,6,19,22,45,4
12/8/2016,8,28,29,49,57,3
12/12/2016,14,19,48,53,54,4
12/15/2016,5,7,21,44,57,2
12/19/2016,1,8,16,22,47,3
12/22/2016,14,19,32,38,43,3
