Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
06/16/2014,09,36,44,53,59,03
06/19/2014,08,13,43,56,60,02
06/23/2014,05,16,21,33,47,04
06/26/2014,15,22,51,52,58,03
06/30/2014,01,04,10,28,33,02
07/03/2014,08,10,25,28,31,02
07/07/2014,11,13,23,54,55,02
07/10/2014,11,12,31,54,59,03
07/14/2014,09,19,34,37,49,02
07/17/2014,08,09,22,46,51,01
07/21/2014,04,06,11,24,31,03
07/24/2014,05,20,35,43,48,03
07/28/2014,06,15,31,51,53,02
07/31/2014,13,25,26,32,58,01
08/04/2014,17,21,36,48,60,03
08/07/2014,03,18,38,40,49,02
08/11/2014,05,10,33,48,57,03
08/14/2014,03,11,34,46,60,02
08/18/2014,06,10,29,44,57,02
08/21/2014,11,24,40,43,47,02
08/25/2014,06,08,34,40,59,04
08/28/2014,12,24,27,38,49,02
09/01/2014,09,21,27,45,53,02
09/04/2014,03,21,28,32,56,03
09/08/2014,01,17,23,44,45,02
09/11/2014,12,44,56,58,59,02
09/15/2014,03,05,09,32,56,01
09/18/2014,05,10,11,24,28,03
09/22/2014,28,39,40,53,54,01
09/25/2014,09,11,28,30,41,04
09/29/2014,19,36,37,43,50,01
10/02/2014,23,34,35,44,52,01
10/06/2014,16,30,37,52,55,03
10/09/2014,23,26,32,50,57,04
10/13/2014,10,13,49,54,57,04
10/16/2014,12,13,20,28,45,04
10/20/2014,08,16,43,52,59,03
10/23/2014,09,22,24,36,54,01
10/27/2014,06,09,28,40,41,01
10/30/2014,19,22,29,38,53,01
11/03/2014,03,27,28,49,52,04
11/06/2014,03,07,14,20,32,03
11/10/2014,07,21,30,53,55,02
11/13/2014,07,08,16,49,56,04
11/17/2014,08,23,37,38,58,01
11/20/2014,02,40,46,59,60,02
11/24/2014,08,25,26,33,56,01
11/27/2014,09,30,43,51,55,03
12/01/2014,04,07,33,50,55,01
12/04/2014,01,15,21,41,60,04
12/08/2014,04,11,14,46,59,04
12/11/2014,12,22,27,35,49,04
12/15/2014,08,22,31,38,40,03
12/18/2014,20,22,26,27,43,02
12/22/2014,03,17,30,50,55,03
12/25/2014,05,14,22,37,60,02
12/29/2014,08,09,35,37,41,04
01/01/2015,13,19,20,21,35,02
01/05/2015,12,23,29,38,43,03
01/08/2015,16,28,38,43,45,03
01/12/2015,01,05,11,39,47,01
01/15/2015,12,15,22,25,27,03
01/19/2015,18,29,47,52,53,03
01/22/2015,08,11,35,47,60,02
01/26/2015,01,20,24,46,57,01
01/29/2015,08,24,28,57,60,02
02/02/2015,04,08,17,20,21,04
02/05/2015,14,17,38,40,45,02
02/09/2015,09,17,36,38,53,04
02/12/2015,06,11,32,56,60,02
02/16/2015,06,26,35,40,43,02
02/19/2015,18,43,51,52,60,04
02/23/2015,01,14,20,21,43,04
02/26/2015,03,16,20,38,49,03
03/02/2015,08,23,27,38,47,04
03/05/2015,10,22,46,47,48,04
03/09/2015,19,34,35,54,57,03
03/12/2015,03,06,17,47,48,01
03/16/2015,12,18,33,44,46,01
03/19/2015,02,12,28,51,54,01
03/23/2015,18,26,28,35,36,04
03/26/2015,06,35,36,47,53,02
03/30/2015,09,23,43,45,52,02
04/02/2015,15,22,29,34,37,03
04/06/2015,02,16,20,25,50,03
04/09/2015,05,07,27,43,50,03
04/13/2015,07,17,26,34,60,04
04/16/2015,01,06,11,13,23,01
04/20/2015,35,36,37,53,56,04
04/23/2015,03,12,30,40,56,02
04/27/2015,13,14,29,46,47,01
04/30/2015,09,26,29,46,58,02
05/04/2015,03,05,21,30,60,04
05/07/2015,04,11,44,47,53,02
05/11/2015,07,08,14,18,52,01
05/14/2015,06,28,34,39,43,02
05/18/2015,16,30,35,38,51,01
05/21/2015,18,22,24,29,56,04
05/25/2015,15,40,48,59,60,01
05/28/2015,08,25,28,33,47,01
06/01/2015,07,10,23,37,56,03
06/04/2015,04,09,32,41,43,02
06/08/2015,33,39,43,49,52,03
06/11/2015,17,24,43,49,57,02
06/15/2015,10,14,16,32,34,03
06/18/2015,01,02,14,29,59,03
06/22/2015,05,26,27,51,59,02
06/25/2015,03,26,27,29,58,01
06/29/2015,01,19,37,49,56,03
07/02/2015,18,19,31,43,54,03
07/06/2015,03,10,30,33,40,01
07/09/2015,19,34,36,54,55,01
07/13/2015,05,23,27,55,57,01
07/16/2015,22,29,47,53,54,03
07/20/2015,10,29,47,48,55,04
07/23/2015,08,26,28,41,52,04
07/27/2015,03,05,36,43,53,03
07/30/2015,15,16,26,27,51,02
08/03/2015,25,29,30,38,39,03
08/06/2015,04,05,24,31,42,02
08/10/2015,02,07,11,33,47,02
08/13/2015,08,12,50,51,56,04
08/17/2015,05,19,21,24,27,03
08/20/2015,06,14,25,39,56,04
08/24/2015,02,19,35,37,44,03
08/27/2015,05,29,37,55,58,02
08/31/2015,12,15,44,45,47,01
09/03/2015,20,33,46,49,51,04
09/07/2015,04,21,26,45,46,04
09/10/2015,11,16,50,55,56,04
09/14/2015,03,07,14,19,25,02
09/17/2015,14,15,17,35,56,02
09/21/2015,17,27,39,44,49,01
09/24/2015,14,17,29,39,50,03
09/28/2015,01,25,29,43,54,02
10/01/2015,25,37,39,47,55,03
10/05/2015,08,20,34,41,43,03
10/08/2015,25,27,28,42,53,02
10/12/2015,28,30,36,38,39,04
10/15/2015,07,11,39,40,45,02
10/19/2015,04,08,31,46,54,03
10/22/2015,05,18,45,52,57,02
10/26/2015,17,20,45,49,58,02
10/29/2015,10,31,32,34,51,04
11/02/2015,01,07,12,34,44,01
11/05/2015,13,20,25,31,51,03
11/09/2015,06,09,11,27,37,03
11/12/2015,06,41,44,49,56,04
11/16/2015,06,20,28,34,40,03
11/19/2015,02,07,21,38,48,04
11/23/2015,04,21,42,43,59,04
11/26/2015,13,23,43,47,59,03
11/30/2015,04,07,08,19,53,04
12/03/2015,08,10,27,37,39,01
12/07/2015,03,05,36,40,44,02
12/10/2015,10,47,48,53,58,02
12/14/2015,46,50,56,57,58,01
12/17/2015,26,49,52,54,56,01
12/21/2015,09,27,33,40,49,03
12/24/2015,05,19,36,41,55,02
12/28/2015,07,11,16,23,24,02
12/31/2015,01,05,24,47,55,01
01/04/2016,08,19,25,51,52,03
01/07/2016,14,31,37,54,56,01
01/11/2016,04,20,30,34,36,02
01/14/2016,23,27,29,36,60,04
01/18/2016,14,17,39,43,51,03
01/21/2016,11,13,36,46,48,04
01/25/2016,19,24,38,55,56,04
01/28/2016,04,05,15,25,59,02
02/01/2016,02,09,22,43,44,01
02/04/2016,08,12,23,40,54,01
02/08/2016,13,23,48,57,59,02
02/11/2016,06,31,35,40,55,02
02/15/2016,02,09,30,37,42,02
02/18/2016,21,24,37,38,49,04
02/22/2016,08,09,10,11,27,04
02/25/2016,02,16,19,33,39,03
02/29/2016,03,17,26,47,58,01
03/03/2016,07,13,35,40,45,04
03/07/2016,09,21,24,37,38,02
03/10/2016,06,12,21,40,57,01
03/14/2016,17,28,37,38,41,01
03/17/2016,11,16,34,44,56,01
03/21/2016,13,30,41,50,55,01
03/24/2016,17,24,30,45,48,03
03/28/2016,20,33,49,53,56,04
03/31/2016,09,17,28,38,45,01
04/04/2016,05,26,32,36,58,04
04/07/2016,02,11,32,50,54,02
04/11/2016,15,30,34,38,55,02
04/14/2016,24,25,48,55,56,02
04/18/2016,06,25,29,33,44,02
04/21/2016,06,12,20,40,53,04
04/25/2016,02,18,27,52,57,04
04/28/2016,04,14,22,47,58,03
05/02/2016,10,14,30,55,56,01
05/05/2016,17,18,30,43,49,04
05/09/2016,20,23,38,48,56,03
05/12/2016,04,13,15,16,32,04
05/16/2016,04,20,25,32,45,03
05/19/2016,10,18,37,40,57,04
05/23/2016,04,19,26,33,58,02
05/26/2016,04,13,26,34,43,03
05/30/2016,05,07,27,28,36,04
06/02/2016,18,28,30,31,37,02
06/06/2016,18,25,35,41,57,02
06/09/2016,01,04,12,33,41,02
06/13/2016,35,40,51,55,60,01
06/16/2016,03,17,22,57,59,02
06/20/2016,01,12,14,32,60,03
06/23/2016,01,09,36,38,46,01
06/27/2016,02,03,09,27,37,01
06/30/2016,04,09,10,31,34,03
07/04/2016,02,15,17,18,52,01
07/07/2016,04,08,26,41,55,03
07/11/2016,16,20,25,27,43,03
07/14/2016,03,08,11,24,25,02
07/18/2016,13,45,51,58,60,01
07/21/2016,01,04,18,29,32,01
07/25/2016,11,12,23,26,43,02
07/28/2016,13,19,32,36,41,02
08/01/2016,32,34,36,39,46,01
08/04/2016,08,22,41,54,56,01
08/08/2016,04,07,08,12,23,01
