Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
01/01/1981,01,13,15,23,26,36
01/08/1981,11,13,20,22,25,31
01/15/1981,03,09,18,22,30,31
01/22/1981,01,04,19,22,25,26
01/29/1981,09,10,21,23,24,32
02/05/1981,02,11,15,17,19,30
02/12/1981,01,05,13,15,16,22
02/19/1981,02,05,06,17,21,28
02/26/1981,11,12,14,16,35,36
03/05/1981,07,09,15,17,30,36
03/12/1981,15,16,24,31,33,34
03/19/1981,15,16,17,20,23,35
03/26/1981,13,19,24,25,33,36
04/02/1981,04,08,15,16,18,36
04/09/1981,10,11,15,23,25,36
04/16/1981,03,09,23,27,28,35
04/23/1981,12,14,18,21,22,34
04/30/1981,13,19,22,24,31,34
05/07/1981,02,03,13,20,31,35
05/14/1981,03,05,06,21,31,35
05/21/1981,02,04,08,17,19,31
05/28/1981,03,06,10,17,22,35
06/04/1981,13,14,31,33,35,36
06/11/1981,06,15,22,23,29,30
06/18/1981,07,10,13,17,24,25
06/25/1981,18,20,26,28,29,31
07/02/1981,12,15,19,22,23,36
07/09/1981,07,13,15,19,20,36
07/16/1981,05,06,09,16,20,27
07/23/1981,02,08,09,21,22,33
07/30/1981,04,12,13,23,29,35
08/06/1981,06,07,09,11,23,27
08/13/1981,10,11,14,21,25,33
08/20/1981,02,05,10,16,17,21
08/27/1981,03,10,21,26,27,28
09/03/1981,14,15,29,31,32,33
09/10/1981,04,07,13,24,29,32
09/17/1981,03,07,10,12,18,35
09/24/1981,03,07,08,21,32,36
10/01/1981,04,17,20,22,28,35
10/08/1981,02,06,21,27,29,33
10/15/1981,07,08,12,23,24,34
10/22/1981,12,17,18,21,22,24
10/29/1981,07,11,18,20,25,27
11/05/1981,01,02,03,06,12,18
11/12/1981,01,11,13,21,29,31
11/19/1981,11,15,24,25,26,33
11/26/1981,08,09,11,22,30,32
12/03/1981,03,04,07,16,31,32
12/10/1981,01,07,10,17,18,21
12/17/1981,02,11,14,17,18,22
12/24/1981,03,13,20,22,27,36
12/31/1981,09,15,18,24,31,33
01/07/1982,06,08,11,15,16,31
01/14/1982,01,11,12,15,23,28
01/21/1982,07,09,20,29,30,35
01/28/1982,03,25,26,28,33,36
02/04/1982,05,07,11,29,32,33
02/11/1982,05,06,08,20,28,29
02/18/1982,06,09,21,24,27,28
02/25/1982,08,12,18,19,25,31
03/04/1982,02,03,12,13,16,22
03/11/1982,06,07,08,12,14,26
03/18/1982,05,06,11,18,21,25
03/25/1982,03,21,27,29,31,33
04/01/1982,04,11,12,15,20,21
04/08/1982,03,05,07,09,25,29
04/15/1982,04,08,10,19,32,34
04/22/1982,02,05,13,20,27,34
04/29/1982,03,06,12,24,27,33
05/06/1982,02,09,21,22,33,35
05/13/1982,15,17,23,28,31,33
05/20/1982,04,11,13,18,25,31
05/27/1982,01,06,07,23,32,34
06/03/1982,10,20,21,28,33,34
06/10/1982,13,27,30,33,35,36
06/17/1982,07,17,19,27,29,30
06/24/1982,01,07,12,19,20,21
07/01/1982,01,08,14,24,29,35
07/08/1982,07,13,22,23,26,34
07/15/1982,04,15,18,22,24,31
07/22/1982,03,09,10,21,24,36
07/29/1982,04,15,18,23,28,33
08/05/1982,09,10,12,15,28,32
08/12/1982,07,11,23,26,30,31
08/19/1982,01,06,13,15,19,33
08/26/1982,05,13,15,25,31,34
09/02/1982,04,17,19,20,25,33
09/09/1982,06,07,10,18,34,35
09/16/1982,01,11,14,25,27,36
09/23/1982,08,09,23,28,32,33
