Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
11/1/1997,37,28,33,22,25,20
11/5/1997,2,19,35,24,28,26
11/8/1997,40,17,21,7,49,37
11/12/1997,41,14,13,29,16,1
11/15/1997,32,7,45,21,26,8
11/19/1997,19,10,48,3,21,22
11/22/1997,22,31,3,7,14,2
11/26/1997,15,46,34,23,40,35
11/29/1997,11,27,13,2,31,23
12/3/1997,18,9,14,47,42,32
12/6/1997,15,26,28,8,43,36
12/10/1997,18,21,28,41,4,3
12/13/1997,44,41,46,35,5,27
12/17/1997,3,5,45,18,13,20
12/20/1997,23,11,12,17,10,7
12/24/1997,28,16,35,34,3,14
12/27/1997,14,48,15,36,9,17
12/31/1997,27,14,6,4,5,6
1/3/1998,4,9,27,7,32,6
1/7/1998,18,4,30,37,3,23
1/10/1998,17,9,7,44,20,25
1/14/1998,16,9,6,28,38,13
1/17/1998,28,9,49,38,29,6
1/21/1998,31,32,23,1,26,33
1/24/1998,7,23,15,28,36,10
1/28/1998,23,48,36,15,31,12
1/31/1998,13,36,48,7,11,18
2/4/1998,30,25,12,8,21,20
2/7/1998,40,12,15,5,27,14
2/11/1998,37,34,33,25,35,35
2/14/1998,41,23,5,39,7,6
2/18/1998,1,33,28,29,21,15
2/21/1998,22,47,29,39,9,25
2/25/1998,30,43,2,20,46,19
2/28/1998,49,26,4,45,41,6
3/4/1998,39,30,19,3,33,9
3/7/1998,32,36,42,30,21,33
3/11/1998,2,17,36,24,5,20
3/14/1998,15,47,35,34,42,15
3/18/1998,4,41,39,2,33,26
3/21/1998,38,34,4,35,47,16
3/25/1998,42,44,35,23,5,29
3/28/1998,27,44,33,38,30,15
4/1/1998,47,33,11,34,12,39
4/4/1998,8,3,23,46,43,13
4/8/1998,3,24,30,49,10,35
4/11/1998,49,48,5,36,15,11
4/15/1998,41,25,8,24,39,21
4/18/1998,22,24,45,19,30,21
4/22/1998,13,4,49,29,31,4
4/25/1998,35,5,38,7,20,19
4/29/1998,25,46,8,47,30,31
5/2/1998,49,3,37,19,14,4
5/6/1998,20,47,45,44,11,5
5/9/1998,8,49,34,29,26,28
5/13/1998,2,36,13,30,18,26
5/16/1998,22,1,41,28,23,18
5/20/1998,9,30,48,34,4,8
5/23/1998,15,16,35,46,1,35
5/27/1998,46,27,15,33,2,27
5/30/1998,3,45,29,24,14,24
6/3/1998,31,22,25,41,35,38
6/6/1998,24,42,26,16,28,24
6/10/1998,12,36,38,19,4,6
6/13/1998,21,23,6,8,3,11
6/17/1998,36,35,7,37,14,10
6/20/1998,49,27,26,31,9,4
6/24/1998,27,18,16,30,13,23
6/27/1998,7,10,31,30,36,37
7/1/1998,3,17,29,35,47,34
7/4/1998,39,25,38,15,30,42
7/8/1998,19,5,16,34,29,24
7/11/1998,10,12,1,6,38,17
7/15/1998,16,21,36,23,11,37
7/18/1998,10,40,14,8,33,31
7/22/1998,30,49,1,23,22,33
7/25/1998,23,14,3,21,17,16
7/29/1998,39,8,43,45,49,13
8/1/1998,4,25,20,44,1,5
8/5/1998,42,35,19,12,3,21
8/8/1998,45,42,5,9,33,28
8/12/1998,10,42,33,2,45,2
8/15/1998,37,12,49,27,30,20
8/19/1998,8,23,43,15,46,29
8/22/1998,21,22,11,7,49,19
8/26/1998,6,32,46,23,42,8
8/29/1998,13,18,14,29,31,23
9/2/1998,28,29,44,40,21,8
9/5/1998,26,49,10,16,8,40
9/9/1998,42,46,12,4,19,9
9/12/1998,19,28,33,16,35,16
9/16/1998,40,35,6,24,42,2
9/19/1998,41,35,19,37,1,11
9/23/1998,1,21,42,22,5,18
9/26/1998,25,24,5,3,2,8
9/30/1998,2,8,3,12,36,24
10/3/1998,5,25,32,14,22,4
10/7/1998,15,8,26,9,6,7
10/10/1998,1,19,8,28,45,25
10/14/1998,26,14,18,32,15,6
10/17/1998,44,48,47,32,28,27
10/21/1998,24,27,22,44,39,25
10/24/1998,12,25,17,10,40,20
10/28/1998,44,24,35,9,8,42
10/31/1998,17,42,33,37,34,8
11/4/1998,17,2,36,8,30,22
11/7/1998,5,33,10,13,30,28
11/11/1998,48,36,14,25,10,2
11/14/1998,41,35,10,16,3,38
11/18/1998,21,25,33,39,46,18
11/21/1998,15,14,21,1,35,10
11/25/1998,6,33,48,13,10,9
11/28/1998,11,4,43,6,2,9
12/2/1998,45,29,36,4,22,30
12/5/1998,31,19,9,27,20,39
12/9/1998,40,12,43,48,33,16
12/12/1998,29,40,16,12,26,32
12/16/1998,3,32,19,27,8,38
12/19/1998,5,15,45,17,3,6
12/23/1998,45,29,31,39,46,33
12/26/1998,17,27,29,7,41,33
