Date,Ball1,Ball2,Ball3,Ball4,Ball5,BallExtra
11/01/1997,37,28,33,22,25,20
11/05/1997,02,19,35,24,28,26
11/08/1997,40,17,21,07,49,37
11/12/1997,41,14,13,29,16,01
11/15/1997,32,07,45,21,26,08
11/19/1997,19,10,48,03,21,22
11/22/1997,22,31,03,07,14,02
11/26/1997,15,46,34,23,40,35
11/29/1997,11,27,13,02,31,23
12/03/1997,18,09,14,47,42,32
12/06/1997,15,26,28,08,43,36
12/10/1997,18,21,28,41,04,03
12/13/1997,44,41,46,35,05,27
12/17/1997,03,05,45,18,13,20
12/20/1997,23,11,12,17,10,07
12/24/1997,28,16,35,34,03,14
12/27/1997,14,48,15,36,09,17
12/31/1997,27,14,06,04,05,06
01/03/1998,04,09,27,07,32,06
01/07/1998,18,04,30,37,03,23
01/10/1998,17,09,07,44,20,25
01/14/1998,16,09,06,28,38,13
01/17/1998,28,09,49,38,29,06
01/21/1998,31,32,23,01,26,33
01/24/1998,07,23,15,28,36,10
01/28/1998,23,48,36,15,31,12
01/31/1998,13,36,48,07,11,18
02/04/1998,30,25,12,08,21,20
02/07/1998,40,12,15,05,27,14
02/11/1998,37,34,33,25,35,35
02/14/1998,41,23,05,39,07,06
02/18/1998,01,33,28,29,21,15
02/21/1998,22,47,29,39,09,25
02/25/1998,30,43,02,20,46,19
02/28/1998,49,26,04,45,41,06
03/04/1998,39,30,19,03,33,09
03/07/1998,32,36,42,30,21,33
03/11/1998,02,17,36,24,05,20
03/14/1998,15,47,35,34,42,15
03/18/1998,04,41,39,02,33,26
03/21/1998,38,34,04,35,47,16
03/25/1998,42,44,35,23,05,29
03/28/1998,27,44,33,38,30,15
04/01/1998,47,33,11,34,12,39
04/04/1998,08,03,23,46,43,13
04/08/1998,03,24,30,49,10,35
04/11/1998,49,48,05,36,15,11
04/15/1998,41,25,08,24,39,21
04/18/1998,22,24,45,19,30,21
04/22/1998,13,04,49,29,31,04
04/25/1998,35,05,38,07,20,19
04/29/1998,25,46,08,47,30,31
05/02/1998,49,03,37,19,14,04
05/06/1998,20,47,45,44,11,05
05/09/1998,08,49,34,29,26,28
05/13/1998,02,36,13,30,18,26
05/16/1998,22,01,41,28,23,18
05/20/1998,09,30,48,34,04,08
05/23/1998,15,16,35,46,01,35
05/27/1998,46,27,15,33,02,27
05/30/1998,03,45,29,24,14,24
06/03/1998,31,22,25,41,35,38
06/06/1998,24,42,26,16,28,24
06/10/1998,12,36,38,19,04,06
06/13/1998,21,23,06,08,03,11
06/17/1998,36,35,07,37,14,10
06/20/1998,49,27,26,31,09,04
06/24/1998,27,18,16,30,13,23
06/27/1998,07,10,31,30,36,37
07/01/1998,03,17,29,35,47,34
07/04/1998,39,25,38,15,30,42
07/08/1998,19,05,16,34,29,24
07/11/1998,10,12,01,06,38,17
07/15/1998,16,21,36,23,11,37
07/18/1998,10,40,14,08,33,31
07/22/1998,30,49,01,23,22,33
07/25/1998,23,14,03,21,17,16
07/29/1998,39,08,43,45,49,13
08/01/1998,04,25,20,44,01,05
08/05/1998,42,35,19,12,03,21
08/08/1998,45,42,05,09,33,28
08/12/1998,10,42,33,02,45,02
08/15/1998,37,12,49,27,30,20
08/19/1998,08,23,43,15,46,29
08/22/1998,21,22,11,07,49,19
08/26/1998,06,32,46,23,42,08
08/29/1998,13,18,14,29,31,23
09/02/1998,28,29,44,40,21,08
09/05/1998,26,49,10,16,08,40
09/09/1998,42,46,12,04,19,09
09/12/1998,19,28,33,16,35,16
09/16/1998,40,35,06,24,42,02
09/19/1998,41,35,19,37,01,11
09/23/1998,01,21,42,22,05,18
09/26/1998,25,24,05,03,02,08
09/30/1998,02,08,03,12,36,24
10/03/1998,05,25,32,14,22,04
10/07/1998,15,08,26,09,06,07
10/10/1998,01,19,08,28,45,25
10/14/1998,26,14,18,32,15,06
10/17/1998,44,48,47,32,28,27
10/21/1998,24,27,22,44,39,25
10/24/1998,12,25,17,10,40,20
10/28/1998,44,24,35,09,08,42
10/31/1998,17,42,33,37,34,08
11/04/1998,17,02,36,08,30,22
11/07/1998,05,33,10,13,30,28
11/11/1998,48,36,14,25,10,02
11/14/1998,41,35,10,16,03,38
11/18/1998,21,25,33,39,46,18
11/21/1998,15,14,21,01,35,10
11/25/1998,06,33,48,13,10,09
11/28/1998,11,04,43,06,02,09
12/02/1998,45,29,36,04,22,30
12/05/1998,31,19,09,27,20,39
12/09/1998,40,12,43,48,33,16
12/12/1998,29,40,16,12,26,32
12/16/1998,03,32,19,27,08,38
12/19/1998,05,15,45,17,03,06
12/23/1998,45,29,31,39,46,33
12/26/1998,17,27,29,07,41,33
12/30/1998,38,34,46,20,10,03
01/02/1999,23,26,39,04,17,27
01/06/1999,16,44,02,09,13,36
01/09/1999,27,05,10,11,32,13
01/13/1999,31,15,33,47,43,06
01/16/1999,02,40,28,15,20,15
01/20/1999,12,02,40,19,48,27
01/23/1999,03,49,30,19,26,31
01/27/1999,20,23,04,44,02,22
01/30/1999,19,40,25,24,45,05
02/03/1999,39,42,26,20,30,32
02/06/1999,25,48,39,15,32,32
02/10/1999,31,42,10,27,20,26
02/13/1999,18,04,35,27,09,11
02/17/1999,36,25,21,22,10,39
02/20/1999,16,39,24,06,15,12
02/24/1999,46,15,40,29,08,23
02/27/1999,30,13,46,20,32,36
03/03/1999,01,44,42,12,08,13
03/06/1999,25,42,19,13,20,13
03/10/1999,34,26,49,14,01,15
03/13/1999,11,49,08,42,44,39
03/17/1999,09,15,31,40,37,09
03/20/1999,20,41,04,40,22,07
03/24/1999,19,20,27,07,26,12
03/27/1999,12,45,13,05,48,35
03/31/1999,16,03,15,39,28,01
04/03/1999,01,04,10,17,30,06
04/07/1999,26,05,37,39,31,42
04/10/1999,03,34,45,42,24,01
04/14/1999,25,10,40,19,12,33
04/17/1999,18,40,25,43,15,37
04/21/1999,03,11,45,41,32,29
04/24/1999,03,48,45,01,35,18
04/28/1999,42,05,12,18,07,14
05/01/1999,20,09,27,07,26,18
05/05/1999,07,40,09,31,26,24
05/08/1999,25,47,34,28,30,14
05/12/1999,05,12,40,38,04,28
05/15/1999,04,38,24,27,30,14
05/19/1999,24,35,04,41,09,31
05/22/1999,36,18,06,43,15,11
05/26/1999,36,26,34,29,37,24
05/29/1999,43,36,35,05,45,19
06/02/1999,48,24,04,20,46,32
06/05/1999,49,08,37,02,16,11
06/09/1999,32,35,07,48,38,17
06/12/1999,28,26,35,45,17,20
06/16/1999,02,04,38,14,08,01
06/19/1999,46,02,23,38,27,26
06/23/1999,15,12,23,17,49,07
06/26/1999,22,15,38,47,08,26
06/30/1999,05,20,40,10,12,03
07/03/1999,01,07,08,37,21,02
07/07/1999,41,03,06,37,17,08
07/10/1999,35,17,07,44,37,30
07/14/1999,25,32,06,29,01,09
07/17/1999,37,40,36,30,48,28
07/21/1999,26,13,31,04,29,03
07/24/1999,04,23,45,47,33,33
07/28/1999,22,25,31,23,32,25
07/31/1999,45,18,43,46,26,29
08/04/1999,24,33,35,04,18,34
08/07/1999,42,49,45,01,44,01
08/11/1999,05,07,43,12,10,07
08/14/1999,06,39,05,45,01,14
08/18/1999,08,05,26,41,09,19
08/21/1999,17,45,28,42,02,20
08/25/1999,45,11,13,21,34,30
08/28/1999,38,39,25,14,18,07
09/01/1999,09,37,39,36,32,14
09/04/1999,23,22,34,26,14,29
09/08/1999,08,43,22,39,15,22
09/11/1999,37,04,32,42,33,25
09/15/1999,37,12,01,42,48,31
09/18/1999,02,46,26,34,08,30
09/22/1999,08,33,38,35,47,08
09/25/1999,33,41,36,32,15,07
09/29/1999,29,46,11,41,22,42
10/02/1999,48,35,15,12,25,30
10/06/1999,07,06,38,42,15,42
10/09/1999,20,08,43,39,27,01
10/13/1999,23,15,44,38,43,38
10/16/1999,05,40,18,22,12,21
10/20/1999,02,20,19,29,16,13
10/23/1999,32,15,12,37,27,11
10/27/1999,31,24,20,39,17,21
10/30/1999,26,41,33,37,10,21
11/03/1999,07,03,08,01,26,07
11/06/1999,08,05,12,40,25,28
11/10/1999,43,40,19,13,31,36
11/13/1999,26,13,32,16,34,24
