Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
1/1/1981,1,13,15,23,26,36
1/8/1981,11,13,20,22,25,31
1/15/1981,3,9,18,22,30,31
1/22/1981,1,4,19,22,25,26
1/29/1981,9,10,21,23,24,32
2/5/1981,2,11,15,17,19,30
2/12/1981,1,5,13,15,16,22
2/19/1981,2,5,6,17,21,28
2/26/1981,11,12,14,16,35,36
3/5/1981,7,9,15,17,30,36
3/12/1981,15,16,24,31,33,34
3/19/1981,15,16,17,20,23,35
3/26/1981,13,19,24,25,33,36
4/2/1981,4,8,15,16,18,36
4/9/1981,10,11,15,23,25,36
4/16/1981,3,9,23,27,28,35
4/23/1981,12,14,18,21,22,34
4/30/1981,13,19,22,24,31,34
5/7/1981,2,3,13,20,31,35
5/14/1981,3,5,6,21,31,35
5/21/1981,2,4,8,17,19,31
5/28/1981,3,6,10,17,22,35
6/4/1981,13,14,31,33,35,36
6/11/1981,6,15,22,23,29,30
6/18/1981,7,10,13,17,24,25
6/25/1981,18,20,26,28,29,31
7/2/1981,12,15,19,22,23,36
7/9/1981,7,13,15,19,20,36
7/16/1981,5,6,9,16,20,27
7/23/1981,2,8,9,21,22,33
7/30/1981,4,12,13,23,29,35
8/6/1981,6,7,9,11,23,27
8/13/1981,10,11,14,21,25,33
8/20/1981,2,5,10,16,17,21
8/27/1981,3,10,21,26,27,28
9/3/1981,14,15,29,31,32,33
9/10/1981,4,7,13,24,29,32
9/17/1981,3,7,10,12,18,35
9/24/1981,3,7,8,21,32,36
10/1/1981,4,17,20,22,28,35
10/8/1981,2,6,21,27,29,33
10/15/1981,7,8,12,23,24,34
10/22/1981,12,17,18,21,22,24
10/29/1981,7,11,18,20,25,27
11/5/1981,1,2,3,6,12,18
11/12/1981,1,11,13,21,29,31
11/19/1981,11,15,24,25,26,33
11/26/1981,8,9,11,22,30,32
12/3/1981,3,4,7,16,31,32
12/10/1981,1,7,10,17,18,21
12/17/1981,2,11,14,17,18,22
12/24/1981,3,13,20,22,27,36
12/31/1981,9,15,18,24,31,33
1/7/1982,6,8,11,15,16,31
1/14/1982,1,11,12,15,23,28
1/21/1982,7,9,20,29,30,35
1/28/1982,3,25,26,28,33,36
2/4/1982,5,7,11,29,32,33
2/11/1982,5,6,8,20,28,29
2/18/1982,6,9,21,24,27,28
2/25/1982,8,12,18,19,25,31
3/4/1982,2,3,12,13,16,22
3/11/1982,6,7,8,12,14,26
3/18/1982,5,6,11,18,21,25
3/25/1982,3,21,27,29,31,33
4/1/1982,4,11,12,15,20,21
4/8/1982,3,5,7,9,25,29
4/15/1982,4,8,10,19,32,34
4/22/1982,2,5,13,20,27,34
4/29/1982,3,6,12,24,27,33
5/6/1982,2,9,21,22,33,35
5/13/1982,15,17,23,28,31,33
5/20/1982,4,11,13,18,25,31
5/27/1982,1,6,7,23,32,34
6/3/1982,10,20,21,28,33,34
6/10/1982,13,27,30,33,35,36
6/17/1982,7,17,19,27,29,30
6/24/1982,1,7,12,19,20,21
7/1/1982,1,8,14,24,29,35
7/8/1982,7,13,22,23,26,34
7/15/1982,4,15,18,22,24,31
